,Unnamed: 0,acronym,summary,tags,has_tags,semantic_type,classification_data
162,162,FSA,"The Financial Services Authority (FSA) was a quasi-judicial body accountable for the regulation of the financial services industry in the United Kingdom between 2001 and 2013. It was founded as the Securities and Investments Board (SIB) in 1985. Its board was appointed by the Treasury, although it operated independently of government. It was structured as a company limited by guarantee and was funded entirely by fees charged to the financial services industry.Due to perceived regulatory failure of the banks during the financial crisis of 2007–2008, the UK government decided to restructure financial regulation and abolish the FSA. On 19 December 2012, the Financial Services Act 2012 received royal assent, abolishing the FSA with effect from 1 April 2013. Its responsibilities were then split between two new agencies: the Financial Conduct Authority and the Prudential Regulation Authority of the Bank of England.
Until its abolition, Lord Turner of Ecchinswell was the FSA's chairman and Hector Sants was CEO until the end of June 2012, having announced his resignation on 16 March 2012.Its main office was in Canary Wharf, London, with another office in Edinburgh. When acting as the competent authority for listing of shares on a stock exchange and maintaining the Official List, it was referred to as the UK Listing Authority (UKLA).

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 103, 'end': 112}, {'match': 'board', 'norm': 'board', 'case': 'lower', 'exact': True, 'start': 250, 'end': 255}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 436, 'end': 445}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 524, 'end': 533}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 596, 'end': 605}]",True,regulatory body,"{'regulatory body': 0.9751061797142029, 'bank': 0.6172432899475098, 'policy': 0.5687103271484375, 'guideline': 0.5609579086303711}"
163,163,CFTC,"The Commodity Futures Trading Commission (CFTC) is an independent agency of the US government created in 1974, that regulates the U.S. derivatives markets, which includes futures, swaps, and certain kinds of options.
The Commodity Exchange Act (CEA), 7 U.S.C. § 1 et seq., prohibits fraudulent conduct in the trading of futures, swaps, and other derivatives.  The stated mission of the CFTC is to promote the integrity, resilience, and vibrancy of the U.S. derivatives markets through sound regulation. After the financial crisis of 2007–08 and since 2010 with the Dodd–Frank Wall Street Reform and Consumer Protection Act, the CFTC has been transitioning to bring more transparency and sound regulation to the multitrillion dollar swaps market.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 513, 'end': 522}]",True,regulatory body,"{'regulatory body': 0.978188693523407, 'guideline': 0.6043060421943665, 'policy': 0.5145336985588074, 'bank': 0.18052548170089722}"
164,164,PTY,"A proprietary company,  the characteristic of which is abbreviated as ""Pty"", is a form of privately held company in Australia and South Africa that is either limited or unlimited. However, unlike a public company there are, depending on jurisdiction, restrictions on what it can and cannot do.
In Australia, a proprietary company is defined under section 45A(1) of the Corporations Act 2001 (Cth).The Act puts certain restrictions on proprietary companies such as not permitting them to have more than 50 members (shareholders). Another important restriction relates to fundraising.  A proprietary company must not engage in fundraising that would require a disclosure document such as a prospectus, an offer information statement, or a profile statement to be issued (sec.113(3)).  The Act states in which circumstances a company must issue a prospectus when attempting to raise funds.  This means that a proprietary company must not offer its shares to the public.
Section 45A of the Act also distinguishes proprietary companies as either ""large proprietary"" or ""small proprietary"".  The differences here relate to issues such as operating revenue, consolidated gross assets, and the number of employed persons.
Large proprietary companies are required to appoint an auditor and lodge appropriate financial statements with the Australian Securities and Investments Commission (ASIC).","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1299, 'end': 1308}]",True,regulatory body,"{'regulatory body': 0.6898882389068604, 'guideline': 0.36459022760391235, 'policy': 0.25910699367523193, 'bank': 0.1684844046831131}"
165,165,FMI,"The Functional Mock-up Interface (or FMI) defines a standardized interface to be used in computer simulations to develop complex cyber-physical systems.
The vision of FMI is to support this approach: if the real product is to be assembled from a wide range of parts interacting in complex ways, each controlled by a complex set of physical laws, then it should be possible to create a virtual product that can be assembled from a set of models that each represent a combination of parts, each a model of the physical laws as well as a model of the control systems (using electronics, hydraulics, and digital software) assembled digitally. The FMI standard thus provides the means for model based development of systems and is used for example for designing functions that are driven by electronic devices inside vehicles (e.g. ESP controllers, active safety systems, combustion controllers). Activities from systems modelling, simulation, validation and test can be covered with the FMI based approach. 
To create the FMI standard, a large number of software companies and research centers have worked in a cooperation project established through a European consortium  that has been conducted by Dassault Systèmes under the name of MODELISAR. The MODELISAR project started in 2008 to define the FMI specifications, deliver technology studies, prove the FMI concepts through use cases elaborated by the consortium partners and enable tool vendors to build advanced prototypes or in some cases even products. The development of the FMI specifications was coordinated by Daimler AG. After the end of the MODELISAR project in 2011, FMI is managed and developed as a Modelica Association Project (MAP).
The four required FMI aspects of creating models capable of being assembled have been covered in Modelisar project: 

FMI for model exchange,
FMI for co-simulation,
FMI for applications,
FMI for PLM (integration of models and related data in product life-cycle management).In practice, the FMI implementation by a software modelling tool enables the creation of a simulation model that can be interconnected or the creation of a software library called FMU (Functional Mock-up Unit).

","[{'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 647, 'end': 655}, {'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 1022, 'end': 1030}]",True,Non-Financial Entity,"{'regulatory body': 0.3109292984008789, 'guideline': 0.29977819323539734, 'policy': 0.25684860348701477, 'bank': 0.14951759576797485, 'finance': 0.07544329017400742}"
191,191,CBK,"The President of Sri Lanka (Sinhala: ශ්‍රී ලංකා ජනාධිපති Śrī Laṃkā Janādhipathi; Tamil: இலங்கை சனாதிபதி Ilankai janātipati) is the head of state, chief executive, and de jure head of government of the Democratic Socialist Republic of Sri Lanka. The president is the chief executive of the union government and the commander-in-chief of the Sri Lanka Armed Forces.
The office was created in 1972 as a ceremonial head of state. Until 1972, Ceylon was a Commonwealth realm with Queen Elizabeth II as the head of state and Queen of Ceylon. It became an executive post in 1978, and since then has been the single most dominant political office in the country. 
Prime Minister Ranil Wickremesinghe became the acting president on 13 July 2022, after his predecessor Gotabaya Rajapaksa fled the country on 13 July 2022. Rajapaksa resigned on 14 July 2022. On 15 July 2022, Wickremesinghe was sworn in as acting president of Sri Lanka. The same day, he decided to formally abolish the presidential standard and remove the style ""His Excellency"" when addressing the president. On July 20, 2022, Wickremesinghe was elected as the ninth President by parliament in a secret ballot.

","[{'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 989, 'end': 997}]",True,Non-Financial Entity,"{'regulatory body': 0.576255202293396, 'guideline': 0.29288169741630554, 'policy': 0.2660976052284241, 'bank': 0.2380392849445343, 'finance': 0.13891474902629852}"
202,202,AFSA,"The Council of School Supervisors & Administrators (CSA) is a New York City based collective bargaining unit for principals, assistant principals, supervisors and education administrators who work in the New York City public schools and directors and assistant directors who work in city-funded day care. It was founded in 1962 as the Council of Supervisory Associations.Since its inception, the CSA has played a major role in NYC public schools, including arguing successfully for salary increases, a salary index, and creating a welfare fund for its employees. It became a member of the AFL–CIO in 1971 as part of a new national organization.

","[{'match': 'fund', 'norm': 'fund', 'case': 'lower', 'exact': True, 'start': 539, 'end': 543}]",True,Non-Financial Entity,"{'regulatory body': 0.8017189502716064, 'guideline': 0.5435190200805664, 'policy': 0.5110299587249756, 'finance': 0.2800880968570709, 'bank': 0.033518075942993164}"
203,203,CSSF,"The Commission de Surveillance du Secteur Financier (CSSF) is responsible for the financial regulation in Luxembourg. The CSSF is responsible for the supervision of credit institutions, experts in the financial sector, investment companies, pension funds, regulated securities markets and their operators, multilateral trading facilities and payment institutions. The CSSF is the competent authority for the public auditor oversight.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 82, 'end': 91}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 201, 'end': 210}, {'match': 'securities', 'norm': 'securities', 'case': 'lower', 'exact': True, 'start': 266, 'end': 276}]",True,regulatory body,"{'regulatory body': 0.9842114448547363, 'guideline': 0.4635830819606781, 'policy': 0.44033414125442505, 'bank': 0.37971580028533936}"
206,206,HKMA,"Hong Kong maintains a three-tier system of deposit-taking institutions, i.e. licensed banks, restricted licence banks and deposit-taking companies. They are collectively known as authorized institutions supervised by the Hong Kong Monetary Authority (HKMA).As one of the top five financial centres worldwide, Hong Kong has one of the highest concentrations of banking institutions in the world, with 70 of the largest 100 banks in the world having an operation in Hong Kong. As of 2019, there were 164 licensed banks, 17 restricted licence banks and 13 deposit-taking companies in business, constituting a total of 194 authorized institutions. In addition, there are 42 local representative offices of foreign banks in Hong Kong.","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 280, 'end': 289}]",True,regulatory body,"{'regulatory body': 0.9274051785469055, 'bank': 0.7575981616973877, 'guideline': 0.22612427175045013, 'policy': 0.21492338180541992}"
217,217,STR,"The Wall Street Journal is an American business-focused, international daily newspaper based in New York City, with international editions also available in Chinese and Japanese. The Journal, along with its Asian editions, is published six days a week by Dow Jones & Company, a division of News Corp. The newspaper is published in the broadsheet format and online. The Journal has been printed continuously since its inception on July 8, 1889, by Charles Dow, Edward Jones, and Charles Bergstresser. The Journal is regarded as a newspaper of record, particularly in terms of business and financial news. The newspaper has won 37 Pulitzer Prizes (as of 2019).The Wall Street Journal is one of the largest newspapers in the United States by circulation, with a circulation of about 2.834 million copies (including nearly 1,829,000 digital sales) as of August 2019, compared with USA Today's 1.7 million. The Journal publishes the luxury news and lifestyle magazine WSJ, which was originally launched as a quarterly but expanded to 12 issues in 2014. An online version was launched in 1995, which has been accessible only to subscribers since it began.: 37 The editorial pages of the Journal are typically American conservative in their position. The Journal has published opinion pieces that were at odds with the scientific consensus on multiple environmental issues.","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 588, 'end': 597}]",True,Non-Financial Entity,"{'policy': 0.5177269577980042, 'guideline': 0.4374581575393677, 'regulatory body': 0.3467566967010498, 'bank': 0.2635483145713806, 'finance': 0.20335644483566284}"
232,232,EUMETSAT,"Meteosat 8 is a weather satellite, also known as MSG 1. The Meteosat series are operated by EUMETSAT under the Meteosat Transition Programme (MTP) and the Meteosat Second Generation (MSG) program. Notable for imaging the first meteor to be predicted to strike the earth, 2008 TC3. Launched 28 Aug 2002 by an Ariane V155, this European Meteorology satellite is in a Geostationary orbit.
While Meteosat 8 meteorological instruments are working OK, its solid state power amplifier SSPA-C failed in October 2002.
On 22 May 2007, the satellite experienced an unexpected orbit change. This was initially inappropriately assessed as being hit by an unknown object, but that was later assessed as not credible. The thermal protection was damaged at the same time as the orbit change. Subsequent investigation assessed the Meteosat-8 spinning spacecraft's orbit change due to the mass release of thermal covering whose attachment failed.  Meteosat-8 is still operating, and as of April 2013 is providing a backup capability to the Meteosat-10 primary 0-degree Full Earth Scan Service and also a backup to the Meteosat-9 Rapid Scan Service over Europe.
In May 2012 Meteosat-8 switched to operating in an Earth Sensor Mode due to a problem with the sun sensor data on board. After modifying the ground image processing system the Rapid Scan Service image quality was restored back to nominal.On 29 June 2016, EUMETSAT approved the proposal of relocating Meteosat-8 to 41.5°E, for the continuation of the Indian Ocean Data Coverage (IODC), replacing Meteosat-7. Meteosat-8 arrived at 41.5°E on 21 September. The distribution of IODC Meteosat-8 data, in parallel to Meteosat-7 data, started on 20 October. On 1 February 2017, Meteosat-8 replaced Meteosat-7 as the official EUMETSAT geostationary satellite for the Indian Ocean.Meteosat-8 is expected to run out of fuel sometime in 2020 and its availability lifetime will end in 2022.","[{'match': 'board', 'norm': 'board', 'case': 'lower', 'exact': True, 'start': 1257, 'end': 1262}]",True,Non-Financial Entity,"{'regulatory body': 0.5679690837860107, 'guideline': 0.371698796749115, 'bank': 0.34703248739242554, 'finance': 0.16868378221988678, 'policy': 0.13616082072257996}"
233,233,BNM,"The Central Bank of Malaysia (BNM; Malay: Bank Negara Malaysia) is the Malaysian central bank. Established on 26 January 1959 as the Central Bank of Malaya (Bank Negara Tanah Melayu), its main purpose is to issue currency, act as banker and adviser to the government of Malaysia and regulate the country's financial institutions, credit system and monetary policy. Its headquarters is located in Kuala Lumpur, the federal capital of Malaysia.The Bank is the only institution permitted to issue the Malaysian ringgit into circulation.","[{'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 89, 'end': 93}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 306, 'end': 315}]",True,regulatory body,"{'regulatory body': 0.9907878637313843, 'bank': 0.9419185519218445, 'policy': 0.9243151545524597, 'guideline': 0.6092779636383057}"
242,242,DNFBP,"Money laundering is the process of concealing the origin of money, often obtained from illicit activities such as drug trafficking, corruption, embezzlement or gambling, by converting it into a legitimate source. It is a crime in many jurisdictions with varying definitions. It is usually a key operation of organized crime.
In US law, money laundering is the practice of engaging in financial transactions to conceal the identity, source, or destination of illegally gained money. In UK law the common law definition is wider. The act is defined as ""taking any action with property of any form which is either wholly or in part the proceeds of a crime that will disguise the fact that that property is the proceeds of a crime or obscure the beneficial ownership of said property"".
In the past, the term ""money laundering"" was applied only to financial transactions related to organized crime. Today its definition is often expanded by government and international regulators such as the US Office of the Comptroller of the Currency to mean ""any financial transaction which generates an asset or a value as the result of an illegal act"", which may involve actions such as tax evasion or false accounting. In the UK, it does not even need to involve money, but any economic good. Courts involve money laundering committed by private individuals, drug dealers, businesses, corrupt officials, members of criminal organizations such as the Mafia, and even states.
As financial crime has become more complex, and ""Financial Intelligence"" (FININT) has become more recognized in combating international crime and terrorism, money laundering has become more prominent in political, economic, and legal debate. Money laundering is ipso facto illegal; the acts generating the money almost always are themselves criminal in some way (for if not, the money would not need to be laundered).","[{'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 60, 'end': 65}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 336, 'end': 341}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 384, 'end': 393}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 475, 'end': 480}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 805, 'end': 810}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 843, 'end': 852}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1046, 'end': 1055}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 1249, 'end': 1254}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 1294, 'end': 1299}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1463, 'end': 1472}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 1617, 'end': 1622}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 1766, 'end': 1771}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 1839, 'end': 1844}]",True,regulatory body,"{'regulatory body': 0.8297975063323975, 'guideline': 0.37458890676498413, 'policy': 0.36154696345329285, 'bank': 0.3025306761264801}"
267,267,PDF,"PDF417 is a stacked linear barcode format used in a variety of applications such as transport, identification cards, and inventory management.  ""PDF"" stands for Portable Data File.  The ""417"" signifies that each pattern in the code consists of 4 bars and spaces in a pattern that is 17 units (modules) long.  The PDF417 symbology was invented by Ynjiun P. Wang at Symbol Technologies in 1991. (Wang 1993) It is defined in ISO standard 15438.","[{'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 426, 'end': 434}]",True,Non-Financial Entity,"{'regulatory body': 0.28715255856513977, 'guideline': 0.2230120152235031, 'bank': 0.1608775556087494, 'policy': 0.10952549427747726, 'finance': 0.01659369468688965}"
278,278,JFSC,The Jersey Financial Services Commission (JFSC) is the regulatory body for financial services in Jersey. It is also the Registrar of Companies for Jersey.,"[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 75, 'end': 84}]",True,regulatory body,"{'regulatory body': 0.9921959638595581, 'bank': 0.29542598128318787, 'guideline': 0.2196032851934433, 'policy': 0.1822560578584671}"
283,283,BSP,"The Philippine peso, also referred to by its Filipino name piso (Philippine English: , , plural pesos; Filipino: piso locally [ˈpiso, pɪˈso]; sign: ₱; code: PHP), is the official currency of the Philippines. It is subdivided into 100 sentimo, also called centavos.
The Philippine peso sign is denoted by the symbol ""₱"", introduced under American rule in place of the original peso sign ""$"" used throughout Spanish America. Alternative symbols used are ""PHP"", ""PhP"", ""Php"", or just ""P"".
The monetary policy of the Philippines is conducted by the Bangko Sentral ng Pilipinas (BSP), established on July 3, 1993 as its central bank. It produces the country's banknotes and coins at its Security Plant Complex, which is set to move to New Clark City in Capas, Tarlac.

","[{'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 623, 'end': 627}]",True,regulatory body,"{'regulatory body': 0.9621737003326416, 'policy': 0.914444088935852, 'bank': 0.8585419058799744, 'guideline': 0.3694647550582886}"
284,284,MFSA,"The Malta Financial Services Authority (MFSA) is a financial regulator of Malta. The MFSA was founded in 2002 when it assumed the responsibilities of the Central Bank of Malta, the Malta Stock Exchange, and the Malta Financial Services Centre. It regulates banking, investment, insurance, financial, pension companies and securities markets in Malta.","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 51, 'end': 60}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 289, 'end': 298}, {'match': 'securities', 'norm': 'securities', 'case': 'lower', 'exact': True, 'start': 322, 'end': 332}]",True,regulatory body,"{'regulatory body': 0.9947420358657837, 'bank': 0.6780691742897034, 'policy': 0.43732506036758423, 'guideline': 0.4127616882324219}"
287,287,CEA,"Extended Display Identification Data (EDID) and Enhanced EDID (E-EDID) are metadata formats for display devices to describe their capabilities to a video source (e.g. graphics card or set-top box). The data format is defined by a standard published by the Video Electronics Standards Association (VESA).
The EDID data structure includes manufacturer name and serial number, product type, phosphor or filter type (as chromaticity data), timings supported by the display, display size, luminance data and (for digital displays only) pixel mapping data.
DisplayID is a VESA standard targeted to replace EDID and E-EDID extensions with a uniform format suited for both PC monitor and consumer electronics devices.

","[{'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 230, 'end': 238}, {'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 571, 'end': 579}]",True,Non-Financial Entity,"{'regulatory body': 0.42741718888282776, 'guideline': 0.32902616262435913, 'policy': 0.22435659170150757, 'bank': 0.052548106759786606, 'finance': 0.024215376004576683}"
288,288,CPO,"A chief executive officer (CEO), also known as a central executive officer (CEO), chief administrator officer (CAO), or just chief executive (CE), is one of a number of corporate executives charged with the management of an organization –  especially an independent legal entity such as a company or nonprofit institution. CEOs find roles in a range of organizations, including public and private corporations, non-profit organizations and even some government organizations (notably state-owned enterprises). The CEO of a corporation or company typically reports to the board of directors and is charged with maximizing the value of the business, which may include maximizing the share price, market share, revenues or another element. In the non-profit and government sector, CEOs typically aim at achieving outcomes related to the organization's mission, usually provided by legislation. CEOs are also frequently assigned the role of main manager of the organization and the highest-ranking officer in the C-suite.","[{'match': 'board', 'norm': 'board', 'case': 'lower', 'exact': True, 'start': 571, 'end': 576}]",True,Non-Financial Entity,"{'guideline': 0.3523499071598053, 'policy': 0.23943154513835907, 'regulatory body': 0.18181510269641876, 'finance': 0.1652907431125641, 'bank': 0.0954376757144928}"
289,289,AIFMD,"Directive 2011/61/EU is a legal act of the European Union on the financial regulation of hedge funds, private equity, real estate funds, and other ""Alternative Investment Fund Managers"" (AIFMs) in the European Union. The Directive requires all covered AIFMs to obtain authorisation, and make various disclosures as a condition of operation. It followed the global financial crisis. Before, the alternative investment industry had not been regulated at EU level.It was reported in May 2014 that only one-third of EU member states had successfully implemented the directive into law. As of 2014, the countries that had transposed Directive 2011/61/EU into law include Cyprus, the Czech Republic, the United Kingdom, Luxembourg, (Germany), France, Malta and Ireland. In December 2014, the European Commission issued a formal warning to countries including Spain, Latvia and Poland for not complying with implementation of Directive 2011/61/EU.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 65, 'end': 74}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 364, 'end': 373}, {'match': 'directive', 'norm': 'directive', 'case': 'lower', 'exact': True, 'start': 562, 'end': 571}]",True,regulatory body,"{'regulatory body': 0.8400179147720337, 'policy': 0.67659991979599, 'guideline': 0.538702666759491, 'bank': 0.2219940572977066}"
290,290,GFSC,"Moneycorp is an international payments fintech that provides payment products and services. The company was founded in London in 1979. Its clients include corporations, financial institutions, and individuals and it has a footprint in the United Kingdom, North America, Europe, Brazil, Hong Kong, and the United Arab Emirates. 
Moneycorp offers payments in over 120 currencies through a suite of services including, but not limited to, foreign exchange spot, forward contracts, and option contracts. Moneycorp is enabled by its payments technology, which encompasses liquidity providers, API-integrations for mass payments, and a self-service platform with an assigned account manager.Moneycorp complies to all applicable laws and regulatory standards through its financial crime monitoring systems, bank-grade compliance, and proper segregation of client funds. Additionally, Moneycorp maintains all required banking and money transmitter licenses across all operating jurisdictions.","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 169, 'end': 178}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 764, 'end': 773}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 800, 'end': 804}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 922, 'end': 927}]",True,regulatory body,"{'regulatory body': 0.7544403672218323, 'bank': 0.6264973878860474, 'guideline': 0.5883787870407104, 'policy': 0.48253998160362244}"
291,291,LIBOR,"The London Inter-Bank Offered Rate is an interest-rate average calculated from estimates submitted by the leading banks in London.  Each bank estimates what it would be charged were it to borrow from other banks. The resulting average rate is usually abbreviated to Libor () or LIBOR, or more officially to ICE LIBOR (for Intercontinental Exchange LIBOR). It was formerly known as BBA Libor (for British Bankers' Association Libor or the trademark bba libor) before the responsibility for the administration was transferred to Intercontinental Exchange. It is the primary benchmark, along with the Euribor, for short-term interest rates around the world. Libor was phased out at the end of 2021, and market participants are being encouraged to transition to risk-free interest rates.Libor rates are calculated for five currencies and seven borrowing periods ranging from overnight to one year and are published each business day by Thomson Reuters. Many financial institutions, mortgage lenders, and credit card agencies set their own rates relative to it. At least $350 trillion in derivatives and other financial products are tied to Libor.In June 2012, multiple criminal settlements by Barclays Bank revealed significant fraud and collusion by member banks connected to the rate submissions, leading to the Libor scandal. The British Bankers' Association said on 25 September 2012 that it would transfer oversight of Libor to UK regulators, as proposed by Financial Services Authority managing director Martin Wheatley's independent review recommendations. Wheatley's review recommended that banks submitting rates to Libor must base them on actual inter-bank deposit market transactions and keep records of those transactions, that individual banks' Libor submissions be published after three months, and recommended criminal sanctions specifically for manipulation of benchmark interest rates. Financial institution customers may experience higher and more volatile borrowing and hedging costs after implementation of the recommended reforms. The UK government agreed to accept all of the Wheatley Review's recommendations and press for legislation implementing them.Significant reforms, in line with the Wheatley Review, came into effect in 2013 and a new administrator took over in early 2014. The British government regulates Libor through criminal and regulatory laws passed by Parliament. In particular, the Financial Services Act 2012 brings Libor under UK regulatory oversight and creates a criminal offence for knowingly or deliberately making false or misleading statements relating to benchmark-setting.

","[{'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 137, 'end': 141}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 954, 'end': 963}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1105, 'end': 1114}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 1658, 'end': 1662}]",True,regulatory body,"{'regulatory body': 0.9601401090621948, 'bank': 0.8480350971221924, 'policy': 0.8262590169906616, 'guideline': 0.6819747090339661}"
292,292,FINRA,"The Financial Industry Regulatory Authority (FINRA) is a private American corporation that acts as a self-regulatory organization (SRO) that regulates member brokerage firms and exchange markets. FINRA is the successor to the National Association of Securities Dealers, Inc. (NASD) as well as the member regulation, enforcement, and arbitration operations of the New York Stock Exchange. The U.S. government agency that acts as the ultimate regulator of the U.S. securities industry, including FINRA, is the U.S. Securities and Exchange Commission (SEC).","[{'match': 'securities', 'norm': 'securities', 'case': 'lower', 'exact': True, 'start': 463, 'end': 473}]",True,regulatory body,"{'regulatory body': 0.967513382434845, 'guideline': 0.3388051986694336, 'policy': 0.09471254050731659, 'bank': 0.02679399587213993}"
294,294,CET,"Central European Time (CET) is a standard time which is 1 hour ahead of Coordinated Universal Time (UTC).
The time offset from UTC can be written as UTC+01:00.
It is used in most parts of Europe and in a few North African countries.
CET is also known as Middle European Time (MET, German: MEZ) and by colloquial names such as Amsterdam Time, Berlin Time, Brussels Time, Madrid Time, Paris Time, Rome Time, Warsaw Time or even Romance Standard Time (RST).
The 15th meridian east is the central axis for UTC+01:00 in the world system of time zones.
As of 2011, all member states of the European Union observe summer time (daylight saving time), from the last Sunday in March to the last Sunday in October.
States within the CET area switch to Central European Summer Time (CEST, UTC+02:00) for the summer.In Africa, UTC+01:00 is called West Africa Time (WAT), where it is used by several countries, year round.Algeria, Morocco, and Tunisia also refer to it as Central European Time.","[{'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 33, 'end': 41}]",True,Non-Financial Entity,"{'bank': 0.5748522877693176, 'regulatory body': 0.49147456884384155, 'finance': 0.25799673795700073, 'guideline': 0.21735963225364685, 'policy': 0.1264767199754715}"
298,298,ICT,"ICT Group, Inc. was a multinational call center and outsourcing company based in the Philadelphia suburb of Newtown.
During the global financial crisis of 2008–2009, it began closing call centers in the United States and Canada, and reducing staff numbers in the United Kingdom, Ireland and Australia, as part of a plan to move its operations to lower-wage countries.On February 2, 2010, ICT was officially acquired by Sykes Enterprises, Inc., a Tampa-based company.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 135, 'end': 144}]",True,Other Financial Entity,"{'guideline': 0.40543147921562195, 'policy': 0.3174373209476471, 'regulatory body': 0.29543375968933105, 'bank': 0.1886734813451767}"
302,302,SBP,"The State Bank of Pakistan (SBP) (Urdu: بینک دَولتِ پاکِستان) is the central bank of Pakistan. Its constitution, as originally laid down in the State Bank of Pakistan Order 1948, remained basically unchanged until January 1, 1974, when the bank was nationalized and the scope of its functions was considerably enlarged. The State Bank of Pakistan Act 1956, with subsequent amendments, forms the basis of its operations today. The headquarters are located in the financial capital of Pakistan, Karachi. The bank has a fully owned subsidiary with the name SBP Banking Services Corporation (SBP-BSC), the operational arm of the central bank with branch offices in 16 cities across Pakistan, including the capital city Islamabad and the four provincial capitals. The State Bank of Pakistan has other fully owned subsidiaries as well: National Institute of Banking and Finance (NIBAF), the training arm of the bank providing training to commercial banks; the Deposit Protection Corporation (DPC); and ownership of  Pakistan Security Printing Corporation (PSPC).","[{'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 77, 'end': 81}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 240, 'end': 244}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 462, 'end': 471}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 506, 'end': 510}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 633, 'end': 637}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 905, 'end': 909}]",True,regulatory body,"{'regulatory body': 0.8975996375083923, 'bank': 0.8559317588806152, 'guideline': 0.5014253258705139, 'policy': 0.3730940818786621}"
